Geneid,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_121_R11_S05#,PD_121_R13_S05#,PD_121_R15_S05#,PD_121_R5_S05#2,PD_121_R7_S05#2,PD_121_R9_S05#2,PD_122_R11_S05#,PD_122_R13_S05#,PD_122_R15_S05#,PD_122_R5_S05#2,PD_122_R7_S05#2,PD_122_R9_S05#2,PD_123_R11_S05#,PD_123_R13_S05#,PD_123_R5_S05#1,PD_123_R7_S05#1,PD_123_R9_S05#1
b0803,5.085042847,5.124522316,5.129564737,6.236432685,6.144551576,6.159030395,3.349342782,5.8694131,6.151031792,6.042238254,5.397162674,5.42043018,3.769485019,5.960233242,6.343443696,6.244512074,5.328562379,5.535730905,3.624616903,5.717376177,6.01699736,5.736536703,5.70708478
b0804,3.550523598,3.483794381,3.805074124,5.634196983,5.780182964,5.631017424,3.136926873,4.627813854,5.285428779,5.216266924,4.398124727,4.040014889,3.163919034,4.824824193,5.307524827,5.129186032,4.199850139,3.889280543,3.465058964,5.058554893,5.646034994,4.888596905,4.413264764
b0805,2.497843252,2.34786294,2.483407942,6.047204738,6.205440126,6.127247608,2.239137906,4.823460628,5.517472508,5.55605855,4.637992488,4.21093211,2.496968677,5.071494738,5.467638432,5.625977979,4.413618142,4.417354338,2.109005266,5.247230227,5.915326452,5.178293862,4.389745608
b0806,7.201210898,7.171200257,7.167326413,7.597353515,7.640290217,7.645154141,6.006531818,6.263940114,10.05535601,7.625390845,6.620462757,7.60515955,6.268459624,6.340251468,10.07154241,7.662260054,6.277222944,7.694530102,6.254883456,6.181242714,7.744571599,6.768208186,7.631676932
b0807,5.74690671,5.463734995,5.577511392,5.39141145,5.360621225,5.336636259,5.59845855,5.258626,5.608513013,5.114697468,4.843718696,5.132854703,5.753124713,5.234431865,5.419554625,5.242586694,4.934889827,5.06400696,5.711976903,5.300827709,5.219728053,5.247746413,5.187416103
b0808,4.128684507,4.245019925,4.053204665,4.564606086,4.653479974,4.61054937,2.888135042,4.403134555,5.401052986,4.792200654,4.652114047,4.519443608,3.010648591,4.3903377,5.59502941,4.673970363,4.6072137,4.620117888,3.054398893,4.276960918,4.613736834,4.362986147,4.648193548
b0809,7.11950142,7.423017446,7.464019892,7.716537897,7.761618147,7.857523627,7.859332832,8.37538993,6.615113564,7.719799741,8.556263459,7.929731393,7.741982868,8.327337912,6.577369546,7.861384812,8.505478895,8.062274628,7.854725864,8.39009334,7.783998666,8.458521992,8.002229439
b0810,7.843801586,7.945812593,7.987998534,8.402425822,8.415573399,8.416884944,8.48832959,9.105318442,7.091762435,8.253426132,9.007338117,8.663172443,8.52554237,9.119599744,7.219789552,8.340856493,8.770066002,8.763310781,8.501920824,9.157486922,8.436055069,9.231441419,8.751190379
b0811,9.153275107,9.430551507,9.524185327,10.01938485,10.0583882,9.992035087,10.08491308,10.88752489,8.539496592,9.913960469,10.64503334,10.31260094,10.10401283,10.77156146,8.342176429,10.033715,10.55642377,10.38636871,10.04262543,10.83372603,9.912912398,10.88896282,10.37902672
b0812,11.00799588,11.1213223,11.21583159,11.58962588,11.58625589,11.70672171,8.928923546,10.45724,12.97467443,11.44660815,10.10674968,11.57372416,8.907925433,10.54030966,12.95685436,11.50043703,10.11072164,11.54642363,8.901389511,10.48703407,11.73911782,10.41684061,11.53061388
b0813,4.286759135,4.020384812,4.006658032,4.493581297,4.487780104,4.531747701,4.569727776,4.235312237,4.807519078,4.567827189,4.17575623,4.507175948,4.491570316,4.243904715,4.835912314,4.395992788,4.098757761,4.627247827,4.451137743,4.148481825,4.327242174,4.370637965,4.491262583
b4736,5.692101946,5.451048283,5.815393501,4.219555139,3.759152489,5.036153943,5.25494074,4.475482045,6.701386232,5.323613924,5.200180324,6.028401775,5.337646532,4.415103919,6.608270766,4.827414797,5.252872608,6.075027178,5.635715122,4.903541472,5.227865835,4.322670779,5.852336418
b0814,12.13471754,11.95647981,11.79333396,11.0855038,11.04589849,10.98294783,11.55381982,10.51993591,12.40129329,10.86357086,10.45884795,11.54894555,11.48352758,10.63199484,12.50771141,10.99071329,10.61039698,11.3740298,11.62595119,10.4721907,11.09962543,10.51040128,11.3855991
b0815,3.798726167,3.613414193,3.76417947,3.3255126,3.643275674,3.316202932,3.251204427,3.608321223,3.370242485,3.310364397,3.820132107,3.508954747,3.586874522,3.41110327,3.268595424,3.239685231,3.571582883,3.315158691,3.366512312,3.353915709,3.369595556,3.632986948,3.317178863
b4705,8.746097032,8.74851485,8.951736238,8.834501989,9.026028745,8.913238314,8.720225799,8.948342237,8.863275641,8.831808988,8.875573881,8.84768018,8.583566377,9.228475803,8.780418501,9.061379345,8.784154922,8.770662495,8.483919361,8.942595527,8.799442134,9.263031971,8.673599986
b0817,7.757013906,7.727820036,7.536151676,7.520139772,7.420401721,7.569579137,7.606061982,7.488170654,7.770183094,7.592242589,7.490650187,7.419390188,7.628837591,7.388047447,7.669841418,7.6531714,7.732468259,7.36475086,7.558622558,7.49030956,7.56876358,7.499689707,7.395681174
b0818,5.424606437,5.505399246,5.293845158,4.947583148,4.986153628,4.745134155,5.065082739,4.840080948,5.213137787,4.987934396,4.722096435,4.708380701,5.193019267,4.747432172,4.793406583,4.839306726,4.893493675,4.681228378,4.918478994,4.917936132,4.720018555,4.63055213,4.573920657
b0819,7.847432846,7.898169988,7.896136388,8.094129991,8.202086842,8.144879367,8.509899445,7.542177752,8.721421361,8.022751444,7.574024782,7.952691852,8.471275815,7.530431163,8.759092349,8.07378332,7.29241426,7.895064791,8.496708678,7.623090582,8.140455311,7.625298831,8.00950099
