,project,Strain Type,Strain Description,Short_genotype,Culture Type,Media version,Growth Rate (1/hr),mu_set
DDB3__PD-009_del-tnaA_Fed-batch_6h__1,DDB3,TF KO,Escherichia coli BW25113 del-tnaA,BW25113 del-tnaA,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-tnaA_Fed-batch_15h__1,DDB3,TF KO,Escherichia coli BW25113 del-tnaA,BW25113 del-tnaA,Fed-batch,1,0.11,0.11
DDB3__PD-009_del-tnaA_Fed-batch_15h__2,DDB3,TF KO,Escherichia coli BW25113 del-tnaA,BW25113 del-tnaA,Fed-batch,1,0.11,0.11
DDB_0234,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB_0235,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB_0236,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.123,0.11
DDB_0237,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.107,0.11
DDB_0238,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Batch,1,0.543,none
DDB_0239,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Fed-batch,1,0.109,0.11
DDB_0240,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Fed-batch,1,0.119,0.11
DDB_0241,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB_0242,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB_0243,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.106,0.11
DDB_0244,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.109,0.11
DDB_0245,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Batch,1,max,none
DDB_0246,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Batch,1,max,none
DDB_0247,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Fed-batch,1,0.104,0.11
DDB_0248,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Fed-batch,1,0.108,0.11
DDB_0249,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB_0250,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Batch,1,max,none
DDB_0251,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.113,0.11
DDB_0252,ddb_pd_036,WT,Escherichia coli BW25113,BW25113,Fed-batch,1,0.13,0.11
DDB_0253,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Batch,1,max,none
DDB_0254,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Batch,1,max,none
DDB_0255,ddb_pd_036,TF KO,Escherichia coli BW25113 del-zur,BW25113 del-zur,Fed-batch,1,0.114,0.11
DDB_0311,ddb_pd_065,WT,Escherichia coli BW25113,BW25113,Batch,2,max,none
DDB_0312,ddb_pd_065,WT,Escherichia coli BW25113,BW25113,Fed-batch,2,0.081,0.11
DDB_0313,ddb_pd_065,WT,Escherichia coli BW25113,BW25113,Fed-batch,2,0.095,0.11
DDB_0314,ddb_pd_065,WT,Escherichia coli BW25113,BW25113,Fed-batch,2,0.096,0.11
DDB_0315,ddb_pd_065,TF KO,Escherichia coli BW25113 del-nac,BW25113 del-nac,Batch,2,max,none
DDB_0316,ddb_pd_065,TF KO,Escherichia coli BW25113 del-nac,BW25113 del-nac,Batch,2,max,none
DDB_0317,ddb_pd_065,TF KO,Escherichia coli BW25113 del-nac,BW25113 del-nac,Fed-batch,2,0.103,0.11
DDB_0318,ddb_pd_065,TF KO,Escherichia coli BW25113 del-nac,BW25113 del-nac,Fed-batch,2,0.097,0.11
DDB_0319,ddb_pd_065,TF KO,Escherichia coli BW25113 del-purR,BW25113 del-purR,Batch,2,max,none
DDB_0320,ddb_pd_065,TF KO,Escherichia coli BW25113 del-purR,BW25113 del-purR,Batch,2,max,none
DDB_0321,ddb_pd_065,TF KO,Escherichia coli BW25113 del-purR,BW25113 del-purR,Fed-batch,2,0.1,0.11
DDB_0322,ddb_pd_065,TF KO,Escherichia coli BW25113 del-purR,BW25113 del-purR,Fed-batch,2,0.091,0.11
DDB_0323,ddb_pd_065,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Batch,2,max,none
DDB_0324,ddb_pd_065,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Batch,2,max,none
DDB_0325,ddb_pd_065,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Fed-batch,2,0.093,0.11
DDB_0326,ddb_pd_065,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Fed-batch,2,0.09,0.11
DDB_0327,ddb_pd_065,TF KO,Escherichia coli BW25113 del-fur,BW25113 del-fur,Batch,2,max,none
DDB_0328,ddb_pd_065,TF KO,Escherichia coli BW25113 del-fur,BW25113 del-fur,Fed-batch,2,0.095,0.11
DDB_0329,ddb_pd_065,TF KO,Escherichia coli BW25113 del-fur,BW25113 del-fur,Fed-batch,2,0.089,0.11
DDB_0330,ddb_pd_065,TF KO,Escherichia coli BW25113 del-csgD,BW25113 del-csgD,Batch,2,max,none
DDB_0331,ddb_pd_065,TF KO,Escherichia coli BW25113 del-csgD,BW25113 del-csgD,Batch,2,max,none
DDB_0332,ddb_pd_065,TF KO,Escherichia coli BW25113 del-csgD,BW25113 del-csgD,Fed-batch,2,0.094,0.11
DDB_0333,ddb_pd_065,TF KO,Escherichia coli BW25113 del-csgD,BW25113 del-csgD,Fed-batch,2,0.092,0.11
PD_117_R11_S05#,ddb_ff_sd,TPS,Escherichia coli K-12 BW25113 FolE(T198I) YnbB(V197A) del-TnaA del-TrpR::P2-ckDDC obgE(E350A) del-yddG::PJ23101-sgAANAT(D63G) del-PfolE::PJ23100 del-ldhA::PJ23101-sgAANAT(D63G) del-cytR::P2-ckDDC trpE(S40F) del-fhuA,BW25113 Tryptophan,Fed-batch,3,0.05,0.05
PD_117_R12_S05#,ddb_ff_sd,TPS,Escherichia coli K-12 BW25113 FolE(T198I) YnbB(V197A) del-TnaA del-TrpR::P2-ckDDC obgE(E350A) del-yddG::PJ23101-sgAANAT(D63G) del-PfolE::PJ23100 del-ldhA::PJ23101-sgAANAT(D63G) del-cytR::P2-ckDDC trpE(S40F) del-fhuA,BW25113 Tryptophan,Fed-batch,3,0.05,0.05
PD_117_R13_S05#,ddb_ff_sd,TPS,Escherichia coli K-12 BW25113 FolE(T198I) YnbB(V197A) del-TnaA del-TrpR::P2-ckDDC obgE(E350A) del-yddG::PJ23101-sgAANAT(D63G) del-PfolE::PJ23100 del-ldhA::PJ23101-sgAANAT(D63G) del-cytR::P2-ckDDC trpE(S40F) del-fhuA,BW25113 Tryptophan,Fed-batch,3,0.05,0.05
PD_117_R5_S05#1,ddb_ff_sd,WT,Escherichia coli BW25113,BW25113,Fed-batch,3,0.05,0.05
PD_117_R6_S05#1,ddb_ff_sd,WT,Escherichia coli BW25113,BW25113,Fed-batch,3,0.05,0.05
PD_117_R7_S05#1,ddb_ff_sd,WT,Escherichia coli BW25113,BW25113,Fed-batch,3,0.05,0.05
PD_121_R11_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,3,0.05,0.05
PD_121_R13_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-fliA,BW25113 del-fliA,Fed-batch,3,0.05,0.05
PD_121_R15_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-crp,BW25113 del-crp,Fed-batch,3,0.05,0.05
PD_121_R5_S05#2,ddb_ff_sd,WT,Escherichia coli BW25113,BW25113,Fed-batch,3,0.05,0.05
PD_121_R7_S05#2,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Fed-batch,3,0.05,0.05
PD_121_R9_S05#2,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-cra,BW25113 del-cra,Fed-batch,3,0.05,0.05
PD_122_R11_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,3,0.05,0.05
PD_122_R13_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-fliA,BW25113 del-fliA,Fed-batch,3,0.05,0.05
PD_122_R15_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-crp,BW25113 del-crp,Fed-batch,3,0.05,0.05
PD_122_R5_S05#2,ddb_ff_sd,WT,Escherichia coli BW25113,BW25113,Fed-batch,3,0.05,0.05
PD_122_R7_S05#2,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Fed-batch,3,0.05,0.05
PD_122_R9_S05#2,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-cra,BW25113 del-cra,Fed-batch,3,0.05,0.05
PD_123_R11_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-rpoS,BW25113 del-rpoS,Fed-batch,3,0.05,0.05
PD_123_R13_S05#,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-fliA,BW25113 del-fliA,Fed-batch,3,0.05,0.05
PD_123_R5_S05#1,ddb_ff_sd,WT,Escherichia coli BW25113,BW25113,Fed-batch,3,0.05,0.05
PD_123_R7_S05#1,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-prpR,BW25113 del-prpR,Fed-batch,3,0.05,0.05
PD_123_R9_S05#1,ddb_ff_sd,TF KO,Escherichia coli BW25113 del-cra,BW25113 del-cra,Fed-batch,3,0.05,0.05
